2018-01-31 11:05:27,352 INFO 57590 [egg:logger] init all loggers with options: {"dir":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/logs","encoding":"utf8","env":"local","level":"INFO","consoleLevel":"DEBUG","disableConsoleAfterReady":false,"outputJSON":false,"buffer":true,"appLogName":"ttv-web.log","coreLogName":"egg-web.log","agentLogName":"egg-agent.log","errorLogName":"common-error.log","coreLogger":{"consoleLevel":"WARN"},"allowDebugAtProd":true,"type":"agent"}
2018-01-31 11:05:27,984 INFO 57590 [egg-watcher:agent] watcher start success
2018-01-31 11:05:42,658 INFO 57590 Recieved a change event from eventSource: {"event":"rename","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/view/node_modules","stat":{"dev":16777220,"mode":16877,"nlink":3,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231855,"size":102,"blocks":0,"atimeMs":1517367942000,"mtimeMs":1517367942000,"ctimeMs":1517367942000,"birthtimeMs":1517367942000,"atime":"2018-01-31T03:05:42.000Z","mtime":"2018-01-31T03:05:42.000Z","ctime":"2018-01-31T03:05:42.000Z","birthtime":"2018-01-31T03:05:42.000Z"},"remove":false,"isDirectory":true,"isFile":false}
2018-01-31 11:05:45,069 INFO 57590 Recieved a change event from eventSource: {"event":"rename","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/config/manifest.json","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231858,"size":3513,"blocks":8,"atimeMs":1517367945000,"mtimeMs":1517367945000,"ctimeMs":1517367945000,"birthtimeMs":1517367945000,"atime":"2018-01-31T03:05:45.000Z","mtime":"2018-01-31T03:05:45.000Z","ctime":"2018-01-31T03:05:45.000Z","birthtime":"2018-01-31T03:05:45.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 11:08:20,479 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/web/page/about/about.vue","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38191149,"size":723,"blocks":8,"atimeMs":1517368100000,"mtimeMs":1517368100000,"ctimeMs":1517368100000,"birthtimeMs":1517367744000,"atime":"2018-01-31T03:08:20.000Z","mtime":"2018-01-31T03:08:20.000Z","ctime":"2018-01-31T03:08:20.000Z","birthtime":"2018-01-31T03:02:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 11:08:21,792 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/view/node_modules/0.js","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231856,"size":4922,"blocks":16,"atimeMs":1517367942000,"mtimeMs":1517368101000,"ctimeMs":1517368101000,"birthtimeMs":1517367942000,"atime":"2018-01-31T03:05:42.000Z","mtime":"2018-01-31T03:08:21.000Z","ctime":"2018-01-31T03:08:21.000Z","birthtime":"2018-01-31T03:05:42.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 11:08:22,171 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/config/manifest.json","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231858,"size":3513,"blocks":8,"atimeMs":1517367964000,"mtimeMs":1517368102000,"ctimeMs":1517368102000,"birthtimeMs":1517367945000,"atime":"2018-01-31T03:06:04.000Z","mtime":"2018-01-31T03:08:22.000Z","ctime":"2018-01-31T03:08:22.000Z","birthtime":"2018-01-31T03:05:45.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 11:08:33,460 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/web/component/app/list.vue","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38191080,"size":1894,"blocks":8,"atimeMs":1517368113000,"mtimeMs":1517368113000,"ctimeMs":1517368113000,"birthtimeMs":1517367744000,"atime":"2018-01-31T03:08:33.000Z","mtime":"2018-01-31T03:08:33.000Z","ctime":"2018-01-31T03:08:33.000Z","birthtime":"2018-01-31T03:02:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 11:08:34,440 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/view/node_modules/0.js","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231856,"size":4922,"blocks":16,"atimeMs":1517367942000,"mtimeMs":1517368114000,"ctimeMs":1517368114000,"birthtimeMs":1517367942000,"atime":"2018-01-31T03:05:42.000Z","mtime":"2018-01-31T03:08:34.000Z","ctime":"2018-01-31T03:08:34.000Z","birthtime":"2018-01-31T03:05:42.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 11:08:34,562 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/config/manifest.json","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231858,"size":3513,"blocks":8,"atimeMs":1517367964000,"mtimeMs":1517368114000,"ctimeMs":1517368114000,"birthtimeMs":1517367945000,"atime":"2018-01-31T03:06:04.000Z","mtime":"2018-01-31T03:08:34.000Z","ctime":"2018-01-31T03:08:34.000Z","birthtime":"2018-01-31T03:05:45.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 11:11:22,262 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/web/page/index/index.vue","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38191184,"size":2628,"blocks":8,"atimeMs":1517368282000,"mtimeMs":1517368282000,"ctimeMs":1517368282000,"birthtimeMs":1517367744000,"atime":"2018-01-31T03:11:22.000Z","mtime":"2018-01-31T03:11:22.000Z","ctime":"2018-01-31T03:11:22.000Z","birthtime":"2018-01-31T03:02:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 11:11:23,643 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/view/node_modules/0.js","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231856,"size":4922,"blocks":16,"atimeMs":1517367942000,"mtimeMs":1517368283000,"ctimeMs":1517368283000,"birthtimeMs":1517367942000,"atime":"2018-01-31T03:05:42.000Z","mtime":"2018-01-31T03:11:23.000Z","ctime":"2018-01-31T03:11:23.000Z","birthtime":"2018-01-31T03:05:42.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 11:11:23,644 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/config/manifest.json","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231858,"size":3513,"blocks":8,"atimeMs":1517368140000,"mtimeMs":1517368283000,"ctimeMs":1517368283000,"birthtimeMs":1517367945000,"atime":"2018-01-31T03:09:00.000Z","mtime":"2018-01-31T03:11:23.000Z","ctime":"2018-01-31T03:11:23.000Z","birthtime":"2018-01-31T03:05:45.000Z"},"remove":false,"isDirectory":false,"isFile":true}
